formula,cif_path,n_atoms,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,volume_A3,eform_eV_per_atom,eform_method,spg_number,spg_symbol,point_group,is_polar,in_top30,rank
AlPS3I,data/structures/AlPS3I/rank01_AlPS3I_N6_Eform-0.89001.cif,6,5.661,6.4561,6.8867,116.9158,113.4239,90.4313,200.456,-0.890012,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
AlPS3I,data/structures/AlPS3I/AlPS3I_3_e2.7434.cif,6,5.661,6.4561,6.8867,116.9158,113.4239,90.4313,200.456,-0.890012,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,True,1
AlPS3I,data/structures/AlPS3I/rank02_AlPS3I_N6_Eform-0.84907.cif,6,5.8854,6.0676,6.2178,89.477,90.0421,89.0949,221.998,-0.849067,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
AlPS3I,data/structures/AlPS3I/AlPS3I_6_e2.7434.cif,6,5.8854,6.0676,6.2178,89.477,90.0421,89.0949,221.998,-0.849067,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,True,2
AlPS3I,data/structures/AlPS3I/rank03_AlPS3I_N6_Eform-0.83235.cif,6,4.686,6.3491,7.6128,75.7106,73.3053,67.4811,198.0,-0.832354,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
AlPS3I,data/structures/AlPS3I/AlPS3I_7_e2.7434.cif,6,4.686,6.3491,7.6128,75.7106,73.3053,67.4811,198.0,-0.832354,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
AlPS3I,data/structures/AlPS3I/rank04_AlPS3I_N6_Eform-0.83189.cif,6,5.9331,6.1153,6.2006,89.0656,90.0402,87.6933,224.758,-0.831886,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
AlPS3I,data/structures/AlPS3I/AlPS3I_8_e2.7434.cif,6,5.9331,6.1153,6.2006,89.0656,90.0402,87.6933,224.758,-0.831886,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
AlPS3I,data/structures/AlPS3I/AlPS3I_1_e2.7434.cif,6,5.416,6.6291,7.827,73.9454,70.0314,65.2001,236.82,-0.811957,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
AlPS3I,data/structures/AlPS3I/rank05_AlPS3I_N6_Eform-0.81196.cif,6,5.416,6.6291,7.827,73.9454,70.0314,65.2001,236.82,-0.811957,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
AlPS3I,data/structures/AlPS3I/AlPS3I_2_e2.7434.cif,6,5.5296,5.583,6.4833,88.663,89.2152,98.7856,197.718,-0.808803,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
AlPS3I,data/structures/AlPS3I/rank06_AlPS3I_N6_Eform-0.80880.cif,6,5.5296,5.583,6.4833,88.663,89.2152,98.7856,197.718,-0.808803,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
AlPS3I,data/structures/AlPS3I/rank07_AlPS3I_N6_Eform-0.80507.cif,6,5.891,6.2314,6.2678,89.4305,90.2777,89.0594,230.041,-0.80507,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
AlPS3I,data/structures/AlPS3I/AlPS3I_5_e2.7434.cif,6,5.891,6.2314,6.2678,89.4305,90.2777,89.0594,230.041,-0.80507,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
GaPS3I,data/structures/GaPS3I/rank08_GaPS3I_N6_Eform-0.74276.cif,6,4.3136,6.5106,7.3996,100.1033,99.4002,90.496,201.69,-0.742762,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
GaPS3I,data/structures/GaPS3I/GaPS3I_7_e2.6519.cif,6,4.3136,6.5106,7.3996,100.1033,99.4002,90.496,201.69,-0.742762,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,True,3
GaPS3I,data/structures/GaPS3I/rank03_GaPS3I_N6_Eform-0.74276.cif,6,4.3136,6.5106,7.3996,100.1033,99.4002,90.496,201.69,-0.742762,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
GaPS3I,data/structures/GaPS3I/rank09_GaPS3I_N6_Eform-0.73559.cif,6,5.731,6.3429,6.7917,116.2874,113.2935,90.352,198.326,-0.735588,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
GaPS3I,data/structures/GaPS3I/rank04_GaPS3I_N6_Eform-0.73559.cif,6,5.731,6.3429,6.7917,116.2874,113.2935,90.352,198.326,-0.735588,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
GaPS3I,data/structures/GaPS3I/GaPS3I_2_e2.6519.cif,6,5.731,6.3429,6.7917,116.2874,113.2935,90.352,198.326,-0.735588,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,True,4
AlPS3I,data/structures/AlPS3I/rank10_AlPS3I_N6_Eform-0.72890.cif,6,5.8728,6.5031,6.9176,109.2374,112.322,99.0274,218.386,-0.728895,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
AlPS3I,data/structures/AlPS3I/AlPS3I_4_e2.7434.cif,6,5.8728,6.5031,6.9176,109.2374,112.322,99.0274,218.386,-0.728895,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
GaPS3I,data/structures/GaPS3I/GaPS3I_3_e2.6519.cif,6,5.6589,6.3054,6.7332,113.6593,111.9788,91.1514,199.923,-0.728287,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
GaPS3I,data/structures/GaPS3I/rank11_GaPS3I_N6_Eform-0.72829.cif,6,5.6589,6.3054,6.7332,113.6593,111.9788,91.1514,199.923,-0.728287,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
