rank,formula,original_cif,space_group_number,space_group_symbol,point_group,is_polar,n_atoms,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,volume_A3,M3GNet_Eform_eV_per_atom,M3GNet_Eform_total_eV
1,AlPS3I,AlPS3I_3_e2.7434.cif,1,P1,1,True,6,5.661,6.4561,6.8867,116.9158,113.4239,90.4313,200.456,-0.890012,-5.3401
2,AlPS3I,AlPS3I_6_e2.7434.cif,1,P1,1,True,6,5.8854,6.0676,6.2178,89.477,90.0421,89.0949,221.998,-0.849067,-5.0944
3,GaPS3I,GaPS3I_7_e2.6519.cif,1,P1,1,True,6,4.3136,6.5106,7.3996,100.1033,99.4002,90.496,201.69,-0.742762,-4.4566
4,GaPS3I,GaPS3I_2_e2.6519.cif,1,P1,1,True,6,5.731,6.3429,6.7917,116.2874,113.2935,90.352,198.326,-0.735588,-4.4135
5,CdPS3I,CdPS3I_3_e2.3669.cif,1,P1,1,True,6,4.5129,5.8634,7.9962,83.1213,78.2633,66.9576,190.445,-0.698286,-4.1897
6,SnPS3I,SnPS3I_3_e2.6937.cif,6,Pm,m,True,6,4.001,6.1243,7.77,93.7873,89.9754,89.3048,189.96,-0.682469,-4.0948
7,InPS3I,InPS3I_1_e2.5983.cif,1,P1,1,True,6,4.7694,6.5128,7.8804,71.6579,73.3743,68.3069,211.848,-0.68031,-4.0819
8,InPS3I,InPS3I_6_e2.5983.cif,6,Pm,m,True,6,3.9985,6.0726,7.5968,96.7718,89.9163,89.8118,183.168,-0.675523,-4.0531
9,BiPS3I,BiPS3I_8_e2.5311.cif,6,Pm,m,True,6,4.0458,6.1807,7.5711,94.8598,89.608,89.8253,188.637,-0.674457,-4.0467
10,SnPS3I,SnPS3I_5_e2.6937.cif,6,Pm,m,True,6,3.9139,6.1116,7.6291,93.1224,89.668,89.7979,182.211,-0.657601,-3.9456
11,BiPS3I,BiPS3I_3_e2.5311.cif,6,Pm,m,True,6,4.2906,6.5285,6.9314,90.008,89.8163,89.4963,194.148,-0.644842,-3.8691
12,ZnPS3I,ZnPS3I_5_e2.3986.cif,1,P1,1,True,6,5.5884,6.1509,6.2063,92.0184,91.3716,89.9574,213.14,-0.641907,-3.8514
13,ZnPS3I,ZnPS3I_7_e2.3986.cif,1,P1,1,True,6,5.3523,5.4701,6.3093,90.7844,89.1505,91.5496,184.618,-0.640636,-3.8438
14,PPbS3I,PbPS3I_6_e2.5106.cif,1,P1,1,True,6,5.4726,5.4877,6.3523,89.7209,91.2393,93.358,190.4,-0.637772,-3.8266
15,PPbS3I,PbPS3I_2_e2.5106.cif,8,Cm,m,True,6,5.473,5.4941,6.3055,90.6065,90.8798,92.0533,189.446,-0.632417,-3.7945
16,CdPS3I,CdPS3I_2_e2.3669.cif,1,P1,1,True,6,5.6484,5.7865,6.1332,87.5617,90.0467,88.7538,200.235,-0.623398,-3.7404
17,AlPSe3I,AlPSe3I_5_e2.4750.cif,1,P1,1,True,6,3.9281,6.9009,8.0494,79.5314,75.4235,73.3818,200.935,-0.436368,-2.6182
18,AlPSe3I,AlPSe3I_2_e2.4750.cif,1,P1,1,True,6,3.9494,6.8146,7.9973,77.1143,75.1819,73.6549,197.008,-0.432196,-2.5932
19,InPSe3I,InPSe3I_7_e2.3299.cif,8,Cm,m,True,6,4.0484,6.4641,7.6866,99.9311,105.4084,89.5575,190.864,-0.370857,-2.2251
20,GaPSe3I,GaPSe3I_6_e2.3834.cif,1,P1,1,True,6,4.0067,7.0564,7.8455,78.6355,75.8147,73.6804,204.422,-0.324978,-1.9499
21,PPbSe3I,PbPSe3I_6_e2.2421.cif,1,P1,1,True,6,4.5002,4.8751,9.1296,89.6474,89.8237,90.1366,200.291,-0.314796,-1.8888
22,CdPSe3I,CdPSe3I_6_e2.0984.cif,1,P1,1,True,6,3.9798,6.578,7.8943,82.0654,75.9833,72.4628,190.722,-0.310257,-1.8615
23,CdPSe3I,CdPSe3I_8_e2.0984.cif,1,P1,1,True,6,5.8106,5.9506,6.5873,84.9386,84.0489,75.3446,218.716,-0.307027,-1.8422
24,InPSe3I,InPSe3I_2_e2.3299.cif,1,P1,1,True,6,4.1187,7.1129,7.5345,81.8234,75.9041,74.1729,205.286,-0.303738,-1.8224
25,ZnPSe3I,ZnPSe3I_3_e2.1302.cif,6,Pm,m,True,6,3.9961,5.9303,7.4977,91.2274,90.5943,89.06,177.606,-0.300012,-1.8001
26,GaPSe3I,GaPSe3I_8_e2.3834.cif,1,P1,1,True,6,3.9343,6.9083,8.0322,82.0585,75.9397,74.2954,203.249,-0.299842,-1.7991
27,BiPSe3I,BiPSe3I_7_e2.2627.cif,1,P1,1,True,6,4.0304,6.7048,8.1026,80.016,75.7336,72.7857,201.501,-0.297538,-1.7852
28,ZnPSe3I,ZnPSe3I_4_e2.1302.cif,6,Pm,m,True,6,4.1026,6.1659,7.725,93.1856,89.7697,89.514,195.1,-0.296198,-1.7772
29,PPbSe3I,PbPSe3I_5_e2.2421.cif,6,Pm,m,True,6,4.1297,6.1198,8.266,91.8137,90.1783,89.9088,208.799,-0.284245,-1.7055
30,SnPSe3I,SnPSe3I_1_e2.4253.cif,6,Pm,m,True,6,4.0459,6.4151,7.572,91.7714,90.0026,89.621,196.435,-0.270665,-1.624
